Identifiant station;Nom de la Station;Nom de la ligne;Niveau de pollution;Recommandation de surveillance;stop_lon;stop_lat;pollution_air
IDFM:463144;Chaussée d'Antin - La Fayette;Métro 9;MOYENNE;non;2.33397045759415;48.8728072371539;pollution moyenne - incertitude forte
IDFM:22388;Chaussée d'Antin - La Fayette;Métro 7;MOYENNE;non;2.3337385944087;48.8731342057747;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:473843;Cité Universitaire;RER B;station aérienne;non;2.3388576809777;48.8215060068417;station aérienne
IDFM:22126;Couronnes;Métro 2;MOYENNE;non;2.3805336747351;48.8693205191446;pollution moyenne - incertitude forte
IDFM:463167;Créteil - Université;Métro 8;station aérienne;non;2.45056974553426;48.7899428543258;station aérienne
IDFM:monomodalStopPlace:46286;Créteil Pompadour;RER D;station aérienne;non;2.43531584025125;48.7712540722973;station aérienne
IDFM:21943;Croix de Chavaux;Métro 9;MOYENNE;non;2.43585461267458;48.857992585158;pollution moyenne - incertitude forte
IDFM:463169;Daumesnil;Métro 6;MOYENNE;non;2.39614606791545;48.8395374216446;pollution moyenne - incertitude forte
IDFM:463103;Denfert-Rochereau;Métro 6;MOYENNE;non;2.33280377628983;48.8342498673289;pollution moyenne - incertitude forte
IDFM:22151;Denfert-Rochereau;Métro 4;FAIBLE;non;2.33212816043761;48.83392232306;pollution faible - incertitude forte
IDFM:monomodalStopPlace:47095;Dourdan la Forêt;RER C;station aérienne;non;1.9960056880026;48.5354205873368;station aérienne
IDFM:463075;Dugommier;Métro 6;MOYENNE;non;2.38959977007981;48.8390365283289;pollution moyenne - incertitude forte
IDFM:463083;Duroc;Métro 13;MOYENNE;oui;2.31653508117631;48.8469919855543;pollution moyenne - incertitude forte
